Index,answers
t_41,['好的，这是您要求的音频转录结果。\nClip 1:\n我没有经常失眠，但是失眠的时候呢，我就会感觉非常的 难受，因为我经常失眠的话可能会导致我明天的工作节奏也会被打乱。但我明天如果不能得到足够的休息的话，明天可能我就不能很好完成应该完成的工作，然后第二天我可能会继续睡不着。\nClip 2:\n未来我希望能够从事视觉相关的研究，因为呃 做研究会比在企业工作更加自由，你可以做你想干的事情，探索你喜欢的东西，然后呢，呃 而且做研究 还有一个好处就是你当您解决一个问题的时候，你会非常自豪，非常的开心。\nClip 3:\n我最放松的时候喜欢睡觉，看电影，或者玩玩游戏，因为做这些事的时候我不需要去思考很多令人 非常压抑，非常痛苦的事情。'],"['我没有经常失眠，但是失眠的时候呢，我就会感觉非常的难受，因为我这场失眠的话，可能会导致我明天的工作节奏也会被打乱，然后我明天，如果不能得到足够的休息的话，明天可能我就不能很好的完成应该完成的工作，然后，第二天我可能会继续睡不着', '我最放松的时候喜欢睡觉看电影或者玩玩游戏，因为做这些事的时候我不需要思考很多令人非常压抑非常痛苦的事情', '未来我希望能够从事视觉相关的研究，因为，额，做研究会比在企业工作更加的自由，你可以做你想干的事情，探索你喜欢的东西。然后呢，额，而且，做研究还有一个好处就是，你，当你解决一个问题的时候会非常的自豪，非常的开心']"
t_42,"['好的，这是音频文件的转录：\n* **Clip 1**\n\n后悔的事情肯定就是高三的时候没有好好锻炼身体，然后导致 而且就是会熬夜啊，或者不吃早饭啊，就导致胃变得比较不好, 然后， 会在高考之前，就在高考之前。 就是各种上吐下泻，然后 然后考前那个半个小时才到了考场，然后整个人状态非常非常的差。 导致我整个考语文的时候是， 哎说是大脑一片空白。 嗯，最后也导致了我 我的语文就是，包括作文，甚至会写偏题，然后语文成绩最后出来不是特别特别的理想。 对，而且本身我语文是相对来说是我一个优势项目，最后变成了，生生变成了可能全班倒数的水平，然后这个这个也是让我非常非常的难以接受的。 对，然后所以 怎么说呢？这应该算是我，有现在人， 就是，20,20年的人生中一个，一个比较，比较后悔的事情。 然后 嗯，对，应该差不多了，就这样。\n\n* **Clip 2**\n\n我最想从事的就是 软件工程师或者说是算法工程师。 因为 首先我第一印象，我觉得作为一个软件工程师，它是一个非常酷的职业。 就是说你可以仅仅用短短几行，或者说 就是几百几千行代码来开发一个软件，而这个软件可以非常非常的便利。 可以 可以给人们的生活带来很多的方便。 我觉得这个是一件 很有成就感的事情。 嗯其次我觉得 就比如说 一个算法工程师，他可以 在有限的时间有限的资源里更高效的解决一个问题。 比如说可以通过一些算法的优化来，比如说来减缓延迟，来提高准确率。 我觉得这个是 非常非常厉害的。 然后，而且算法的本质，其实数学，而我对数学这种学科是比较有兴趣的，然后我觉得数学本身它是一种，有一种很简洁的美丽。 就是它可以 嗯 怎么说呢？ 就是它可以把一些繁烦的问题。 简单化 但是或者说是抽象化。 但是又不失其逻辑性，我觉得 这样 一个 是我很 喜欢的一种思考问题的方式。\n\n* **Clip 3**\n\n我最好的朋友应该是王毅，然后他 他 他最吸引我的首先是他非常的聪明。 呃怎么说呢？他就读于 清华大学，并且在清华大学 呃至少在大一年的学习中是排名专业第一，然后 除此以外，他还比较喜欢去 打排球，然后也是他们民乐清华民乐团中的一员，也经常随团去各地演出。 呃 所以他能在有限的时间里，然后去 达到这么一个成绩，我觉得是非常非常聪明的，并且在高中的时候他也是属于 思维非常敏捷，经常会想到一些标准答案之外，比标准答案还要巧妙的一些做法。 其次他是，他，他我觉得他比较体，呃比较善良，比较体贴，就是在我不开心的时候，但是他也比较忙的时候，他还是会抽出时间去， 呃去陪我聊天，去安慰我，去或者说是给我一些建议。 呃，其次我觉得他是 他是规划能力比较好的一个人。 他 我觉得他能 把自己要做的事情，想做，呃，想 就是想处理的事情都安排的非常的井井有条。 对，这是我觉得他比较吸引我的一些地方。']","['最后悔的事情肯定就是高三的时候没有好好锻炼身体，然后，导致，而且就是会熬夜啊，或者不吃早饭啊，就导致胃变得比较不好，然后会在高考之前，就在高考之前，就是各种上吐下泻，然后，然后考前大概半个小时才到了考场，然后整个人状态也非常非常的差，然后导致我整个考语文的时候是，等于说是大脑一片空白，嗯，最后也导致了我，我的语文就是包括作文甚至会写偏题，然后语文成绩最后出来，也不是特别特别的理想，对，和我，而且本身我的语文相对来说是我的一个优势项目，最后变成了，甚至变成了可能全班倒数的水平，这个也是让我非常非常的难以接受的，然后所以，怎么说呢，这应该算是我，有限的，二十，二十年的人生中，比较后悔的事情，然后，对应该差不多，就这样', '额，我最好的朋友应该是王毅，他，他最吸引我的，首先是他非常的聪明，额，怎么说呢，他就读于清华大学，并且在清华大学，额，至少在大一一年的学期种是排名专业第一，然后，除此以外，他还比较喜欢去打排球，然后也是他们民乐，清华民乐团中的一员，也经常随团去各地演出，额，所以他能在有限的时间里，然后去达到这么一个成绩，我觉得是非常非常聪明的，并且在高中的时候他也是属于思维非常敏捷，经常会想到一些标准答案之外，比标准答案还要巧妙的一些做法。额，其次，他是，他，他，他比较善良比较体贴，就是在我，就是不开心的时候，但是他也比较忙的时候，他还是会抽出时间去，去陪我聊天，去安慰我，去，或者说是给我一些建议。其次，我觉得他是，他是规划能力比较好的一个人，他，我觉得他能把他自己要做的事情，额，想，就是想处理的一些事情都安排的非常的井井有条，对，这是我觉得他比较吸引我的一些地方。', '我最想从事的就是软件工程师或者说是算法工程师，因为首先我的第一印象，我觉得，作为一个软件工程师，他是一个非常酷的职业，就是说你可以仅仅用短短几行，或者说，就是几百几千行代码来开发一个软件，而这个软件可以非常非常的便利，可以，可以给人们的生活带来很多的方便我觉得这个是一件，啧，很有成就感的事情。额，其次我觉得就比如说，一个算法工程师他可以在有限的时间有限的资源里更高效的解决一个问题，比如说可以通过一个算法的优化来，比如说，减缓延迟，来提高正确率，我觉得这个是非常非常厉害的，而且算法的本质其实是数学，而我对数学这门学科是比较又兴趣的，额，我觉得数学本身他是一种，有一种简洁的美丽，就是它可以，嗯，怎么说呢，就是它可以把一些纷繁的问题简单化或者说是抽象华，但是又不失其逻辑性，这样一个是我很喜欢的一种思考问题的方式。']"
t_43,"['Okay, here are the transcriptions of the audio clips:\n\n*   **Clip 1:** ""哇, 最近不开心的事就是呃一直考试吧, 考试连续三天考试, 而且考了三大主课, 非常重要, 感觉自己复习的并不好。""\n*   **Clip 2:** ""呃, 我家里就我一个孩子, 然后现在我奶奶在世,跟我们一起住呦, 所以一共有四口人, 我爸我妈, 还有我奶奶, 还有我。""\n*   **Clip 3:** ""父母监督我好好学习。""']","['哇，最近不开心的事就是一直考试吧，考试，连续三天考试，而且考了三大主科，非常重要，感觉自己复习的并不好', '额，父母监督我好好学习', '额，我家里就我一个孩子，然后，现在我奶奶在世，跟我们一起住，所以一共有四口人，我爸我妈还有我奶奶还有我']"
t_44,"['好的，這是語音檔的文字稿：\n\n*   **Clip 1:**\n生活中令人煩躁的事情很多, 學習和遊戲時都有。 不論大小的話, 最近的一次是在玩遊戲的時候輸了一把。 畢竟競技遊戲,想贏很正常。 雖然輸完之後惱了一段時間,覺得自己和隊友直播配合不是很好,但是很快就拋了。\n\n*   **Clip 2:**\n我家長住的一般是父母兩人, 祖父祖母住在舊近的小區。 我的姑父姑母住在他們的樓上, 我的舅舅在外地工作, 我有一個,我有三個表親, 表哥和一個表姐,目前都已經去了比較遠的城市打工。 我的外婆則於其他一些親戚一同住在幾百公里外的安慶市。\n\n*   **Clip 3:**\n我認為是我的父母, 俗話說,父母是孩子第一任老師, 從我記事到高中畢業為止,我在於他人的交往中很少談及道德為人方面的問題, 而父母作為引導者,時刻關注我的行為,與以指證或者包獎, 並且盡可能的以身作則,讓我明白如何。']","['生活中令人烦躁的事情很多，学习和游戏时都有。不论大小的话，最近的一次是在玩游戏的时候输了一把，毕竟竞技游戏，想赢很正常，虽然输完之后懊恼了一段时间，觉得自己和队友之间配合的不是很好，但是很快就抛到脑后了', '我认为是我的父母，老话说父母是孩子第一任老师，从我记事到高中毕业为止，我在与他人的交往中很少谈及道德为人方面的问题，而父母作为引导者时刻关注我的行为，予以指正或者褒奖，并且尽可能的以身作则，让我明白如何', '我家常驻的一般是父母两人，祖父祖母住在附近小区里，我的姑父姑母住在他们的楼上，我的舅舅在外地工作，我有一个，我有三个表哥和一个表姐，目前都已经去了比较远的城市打工，我的外婆与其他的一些亲戚一同住在几百公里外的安庆市']"
t_45,"['Okay, here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 我没有什么最后悔的事情，因为我觉得做了事情之后就不要后悔，向前看就好。\n\n*   **Clip 2:** 我希望未来可以开一家书店或者琴行，因为我比较喜欢惬意又闲的生活。\n\n*   **Clip 3:** 家乡的人和食物。']","['我没有什么最后悔的事情，因为我觉得做完什么事情之后就不要后悔，向前看就好了', '家乡的人和食物', '我希望未来可以开一家书店或者琴行，因为我比较喜欢惬意悠闲的生活']"
t_46,"['Okay, here are the transcriptions of the three audio clips you provided:\n\n*   **Clip 1:** 好朋友說唄。\n\n*   **Clip 2:** 喜欢听话的小孩。 很 太活泼的 挺烦人。 因为我带过小孩真是就特别的散人。\n\n*   **Clip 3:** 喜欢听音乐，因为 很放松。']","['跟好朋友说呗', '喜欢听音乐因为很放松', '喜欢听话的小孩，太活泼的挺烦人，我带过我外甥就特别烦人']"
t_47,['Clip 1 这前两天iPad烧花了，然后要寄回京东给他维修，然后就正在做这个东西的时候，我的老爹风风火火的跑过来跟我说赶近去寄快递，还在这磨蹭什么。 然后当时就 明明自己已经在做这个事情了，然后他还是带着一副指示的语气，然后两个人就发生了争吵。 啊就跟他说， 已经在搞了，不要着急什么什么吧，然后就 吵了一会儿。\nClip 2 这个要分情况，如果是让我玩小孩，陪小孩子玩的话，那还是很喜欢的，因为小孩子比较可爱是吧，带起来也 嗯就是如果只是陪他玩的话，就很多事情也不用那么操心，但如果是自己养小孩的话，感觉就是要负责麻烦的事情就多了，比如说，什么看着不能跑啊，换尿布啊，各种各样比较就是要需要照顾到的事情比较多，那可能就是更多的要偏 关照一方的话，那， 如果对于我现在来说可能还是不不那么喜欢。\nClip 3 前两天回家，然后和同学聚会的时候，大家说一起玩，玩斗地主吧，然后斗地主玩着玩着就刚开始是没有说要花就是赌钱什么什么的。但是后来因为为了更加刺激一点就五五角钱一局，然后虽然五角钱 大家都是有是有赢，但也别多，后来他说换一个换一个花样玩，就是玩另外一种玩法。结果我是第一次玩，玩着玩着就拿抽到一副王炸翻了翻了好几倍，一次性赚了四十多块钱，直接把回家的车票 给赚。'],"['就前两天ipad摔坏了，然后，要寄回京东给他维修，然后就正在做这个东西的适合，我的老爹风风火火地跑过来跟我说赶紧去寄快递还在这磨蹭什么。然后，当时就，明明自己已经在做这个事情了，然后他还是带着一副指使的语气，然后两个人就发生了争吵，就跟他说已经在搞了，不要急，什么什么，然后就吵了一会', '前两天回家，然后和同学聚会的时候，大家说一起玩，玩斗地主吧。然后斗地主玩着玩着，就，刚开始是没有说要花，就是赌钱什么什么的，但是，后来因为为了更加刺激一点，就五角，五角钱一局，然后虽然五角钱大家都是有输有赢，但也不多，后来说换一个花样玩，就是玩另外一种玩法，结果我是第一次玩，玩着玩着就抽到一副王炸，翻了好多倍一次性赚了四十多块钱，直接把回家的车票给赚了', '这个要分情况如果是让我玩小孩，陪小孩子玩的话，还是很喜欢的。因为小孩子比较可爱，是吧。带起来也，嗯，就是如果只是陪他玩的话，就很多事情也不用那么操心，但如果是自己养小孩的话，额，感觉就是要负责麻烦的事情就多了，比如说什么，额，看住不能跑啊，换尿布啊，各种各样比较，就是需要照顾到的事情比较多，那可能更多的是要偏关照一方的话，那，如果对于我现在来说，可能还是不那么喜欢的']"
t_48,['好的，这是音频文件的文本记录：\n\n*   **Clip 1:** 我最近一次感到不开心的时候 就是上周吧，我们老师找我干了个杂活，啊，给他填一个材料，我和， 嗯，我和我的另外一个师兄， 用了将近一天的时间，然后熬到 熬到凌晨才给他填完， 嗯， 嗯， 这件事本来可以 提前做的，但是他没有早通知我。\n*   **Clip 2:** 我未来希望 能进入国企或者政府单位工作，因为 嗯， 这，这两种工作， 比较稳定。\n*   **Clip 3:** 我放松的时候最喜欢去学校 附近的海边走一走，因为平时科研压力比较大， 所以， 需要 看看大海来缓解一下心情。'],"['我最近一次感到不开心的时候就是上周吧，我们老师找我干个杂活，给他填一个材料。我和，嗯，我和我的另外一个师兄，用了将近一天的时间，熬到，熬到凌晨才给他填完，嗯。这件事本来可以提前做的，但是他没有早通知我', '我放松的时候最喜欢去学校附近的海边走一走，因为平时的课业压力比较大，所以需要看看大海来缓解一下心情', '我未来希望能进入国企或者政府单位工作，因为，嗯，这，这两种工作比较稳定']"
t_5,"[""Okay, here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 太久远了，不记得了。 (Tài jiǔyuǎn le, bù jìdé le.) (It's too long ago, I don't remember.)\n*   **Clip 2:** 不喜欢，因为他们很吵，长得又不可爱。(Bù xǐhuan, yīnwèi tāmen hěn chǎo, zhǎng de yòu bù kě'ài.) (I don't like it, because they are very noisy and don't look cute.)\n*   **Clip 3:** 喜欢睡觉，因为睡觉很舒服。(Xǐhuan shuìjiào, yīnwèi shuìjiào hěn shūfu.) (I like sleeping, because sleeping is very comfortable.)""]","['太久远了，不记得了，嘻', '喜欢睡觉，因为睡觉很舒服', '不喜欢，因为他们很吵，长得又不可爱']"
t_51,"['Okay, here are the transcriptions of the three clips:\n\n*   **Clip 1:** 跟呼吸 跟其他人抱怨罵\n*   **Clip 2:** 一般吧,自己的孩子比較喜歡,別人的小孩子\n*   **Clip 3:** 是感到開心是拿到面商項目的時候, 因為 自己付出了那麼多的努力,最後終於有了好的成果。']","['深呼吸，跟其他人抱怨，骂几句', '上一次感到开心，是拿到面上项目的时候因为自己付出了那么多的努力最后终于有了好的成果', '一般吧，自己的孩子比较喜欢，别人的小孩子，太吵了']"
t_53,['最討厭的人呢，當然就是打王者的時侯，你遇到那些死媽崽 就特別 能夠壞人心態 一直在那邊發什麼幹得漂亮，收到 甚至我也竟然這麼幹，但是我純粹是為了反擊他們。 然後 呃 演員懂吧？就是 那種 呃 尤其是那種導演就是花錢就是 請人在對面或者自己這邊。 安排彼此安排上分的那種。 嗯，我以後就是想從事那種 嗯 比較閒適的工作 就是 比如說 一個人安靜的開一家咖啡館或者書館。 然後 就是服務於那些想要在喧囂都市中獲取一份寧靜的人們 我希望能夠給他們營造一種就是在這裡 打發時光，無拘無束的一種氛圍 因為我本身就是一個 性格比較恬淡的人。 然後 嗯 我也覺得 人啊必須得 嗯 拿拿出一部分時間來獲得自我心靈的昇華。 差不多就這樣。 嗯，我最好的一個朋友，嗯。 它就是 嗯，雖然說 就是 興趣愛好和我 並不是特別合，但是為人特別開朗和豪爽。 然後 對朋友們也是 傾心相助，坦誠相見。 大家有 困難的時候都會一起幫忙，有好處的時候都會一起分享。 嗯差不多就這樣。'],"['最讨厌人么当然就是打王者时候遇到那些死马仔，就特别，能够坏人心态，一直在那边发什么干得漂亮、收到，虽然我也经常那么干，但我纯粹是为了反击他们。然后，呃，演员懂吗，就是，那种，嗯，就尤其是哪种导演，花钱，就是请人在对面或是自己这边安排，彼此安排上分那种。', '嗯，我最好的一个朋友，嗯，他就是，额，虽然说，就是，志趣爱好和我不是特别合，但是为人特别开朗和豪爽，然后，对朋友么，也是倾心相助，坦诚相见。大家有困难时都会一起帮忙，有好处的时候都会一起分享。差不多就是这样。', '我以后就是想从事那种，比较闲适的工作。就是，比如说，一个人安静地开一家咖啡馆或者书馆，然后，就是服务于那些想要在喧嚣都市中获取一份宁静的人们。我希望能够给他们营造一种，就是在这里打发时光，无拘无束的一种氛围。因为我本身就是一个性格比较恬淡的人，然后，嗯，我也觉得人啊，嗯，拿出一部分时间来获得自我心灵的升华，差不多就是这样。']"
t_54,"['Here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 不经常不经常失眠。\n*   **Clip 2:** 我对最深刻的经历就是经过竞争评上了正教授。\n*   **Clip 3:** 其实也没什么最好的朋友, 算了吧。']","['不经常，不经常失眠。', '其实也没什么最好的朋友，算了吧。', '人生中最深刻的经历就是经过竞争评上了正教授。']"
t_55,['好的，以下是音频文件的文字记录：\n\n**Clip 1:**\n\n我不经常失眠，我失眠的时候往往就是第二天会有非常重要，或者是非常令我嗯比较激动，心绪难平的事吧，才会失眠，失眠的时候吧，就会感觉就是嗯睡不着，就是脑海里越来越精神，越来越精神，越来越清明，反而会陷入一种比较亢奋的状态下，这样就导致就是越来越睡不着，就失眠了。\n\n**Clip 2:**\n\n我的家庭构成，嗯，我家的家庭成员主要有我的爸爸，我的妈妈，还有我，还有一条狗，还有一只鸟。嗯，我觉得他们都是我非常重要的家人吧。\n\n**Clip 3:**\n\n我觉得生活中给我带来正面影响的人应该是我的父母吧，他们把我带到这个世界上来，然后为我塑造了正确的三观，让我积极健康的成长，教会我怎样做一个，怎样做一个有用的人吧，怎样做一个积极向上的人，把我变成了今天这个样子，他们对我的正面影响几乎是无时无刻的，所以我觉得给我带来最大正面影响的人应该是我的父母。'],"['我不经常失眠。我失眠的时候往往就是第二天会有非常重要或者非常令我心绪难平的事吧，才会失眠。失眠的时候感觉就是，额，睡不着，脑海里越来越精神，越来越清明，反而是陷入一种比较亢奋的状态下，这样就导致就是，越来越睡不着了，就失眠了。', '我觉得生活中给我带来正面影响的人应该是我的父母吧。他们把我带到这个世界上来，然后为我塑造了正确的三观，让我积极健康地成长，教会我怎样做一个，怎样做一个有用的人吧，怎样做一个积极向上的人，把我变成了今天这个样子。他们对我的正面影响几乎是无时无刻的，所以我觉得给我带来最大正面影响的人应该是我的父母。', '我的家庭构成，额，我家的家庭成员主要有我的爸爸，我的妈妈，还有我，还有一条狗，还有一只鸟。嗯，我觉得，他们都是我非常重要的家人吧。']"
t_56,"['Okay, here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 时常打饭和阿姨争吵，因为阿姨不给我把两个菜分开，她要打到一个盘子。\n*   **Clip 2:** 我爸，我妈还有我姐，还有我。\n*   **Clip 3:** 建筑。']","['食堂打饭和阿姨争吵。因为阿姨不给我把两个菜分开，她要把两个菜打到一个盘子里。', '建筑。', '我爸我妈我姐还有我。']"
t_58,"[""Okay, here's the transcription of the audio clips:\n\n**Clip 1:**\n\n嗯， 不知道 有翻弄个奥恼了， 不开心的话， 嗯， 都是生活中的一些小事情吧， 然后很快的话就会过去。\n\n**Clip 2:**\n\n大学学习的专业是石油工程。 为什么选择，因为父母是做石油的，然后 自己也想 干这一方面。\n\n**Clip 3:**\n\n放松的时候最喜欢听歌, 因为听, 因为我喜欢唱歌。""]","['嗯，不记得有愤怒和懊恼了。不开心的话，都是生活中的小事情吧，然后很快的话也会过去。', '放松的时候最喜欢听歌。因为我喜欢唱歌。', '大学学习的专业是石油工程。因为父母是做石油的，然后自己也想干着一方面。']"
t_59,"[""Okay, here's the transcription of the three clips:\n\n**Clip 1:**\n\n嗯, 最近一次是就是 有兩門專業課出來,成績出來的時候就 覺得自己本來可以拿優的,但是還是拿了良。\n\n**Clip 2:**\n\n因為睡覺,聽歌,然後看書。\n\n**Clip 3:**\n\n就是他跟我一起長大,然後是性格特別能包容別人,然後很溫柔的。""]","['最近一次是，就是有两门专业课成绩出来后，就觉得自己本来可以拿优的但还是拿了良。', '就是，嗯，他跟我们一起长大，性格特别能包容别人，然后很温柔的那种人。', '会睡觉听歌看书什么的。']"
t_6,"['好的，这是音频文件的转录：\n\n*   **Clip 1:** 最讨厌的人或事情大概是虚伪的人或者虚伪的事情吧。\n*   **Clip 2:** 希望从事一份薪资可以养得活自己, 然后和文化有关的内容。嗯，因为我希望自己不是一天到晚在进行机械的工作，而是能创造出一些文化价值。\n*   **Clip 3:** 嗯，上一次感到开心的时候是上个周末和男朋友一起出去看画展。原因是因为好久都没有这样，就两个人在一起开开心心的，没有什么压力。']","['最讨厌的人或事情，大概是虚伪的人或者虚伪的事情', '嗯，上一次感到开心的时候是上个周末和男朋友一起出去看画展，原因是因为好久都没有这样，就两个人在一起开开心心的，没有什么压力', '希望从事一份，薪资可以养得活自己，然后和文化有关的内容。嗯，因为我希望自己不是一天到晚在进行机械的工作，而是能创造一些文化价值']"
t_60,['好的，這是您要求的音訊轉錄：\n**剪輯 1:**\n因為討厭的人或事情啊，嗯，沒有，沒，一下子想不起來吧，但我覺得最討厭的人就是，呃，就是不誠實的人，欺騙你的人。不管是就是你欺騙你肯定會有情感上的欺騙，因為你肯定很信任他，那當你很信任這個人，但是他欺騙了你，就，就會讓我覺得很不能接受，一時間沒有辦法從裡面走出。\n\n**剪輯 2:**\n其實我不太，嗯，就是對自己的興趣愛好吧，我不是特別的明細，就是可能在學校這麼多專業裡面沒有一個特別特別喜歡的，但是有特別討厭的，然後綜合評估下來，然後又覺得當前這個專業可以開拓，有開拓的這種狀態，然後可以自己去建立一個新的世界，就覺得還蠻有意思的，雖然學得很累，但是，就是還，還行。哦對，我在大學裡面學習的是軟軟件工程。\n\n**剪輯 3:**\n我放鬆的時候就喜歡看看視頻，就覺得比較，啊，可以把自己從當前的生活當中剝離出來，然後去進入到另外一個完全不同的世界裡面，去體驗別人的認識，我會覺得比較有意思吧，然後比較能夠放鬆自己。'],"['最讨厌的人会是谁啊，啊，一下子想不起来吧。但我感觉最讨厌的人就是，啊，就是不诚实的人，欺骗你的人。不管是，就是欺骗你肯定会有情感上的欺骗，因为你肯定很信任他。那当你很信任这个人但是他欺骗了你，会让你，啊，让我觉得很不能接受，一时间没有办法从里面走出来这种感觉。', '我放松的时候就喜欢看看视频，就觉得比较，可以把自己从当前的生活中剥离出来，然后去进入到另外一个完全不同的世界里面，去体验别人的人生，会觉得比较有意思吧，比较能够放松自己，对。', '其实我不太，对自己兴趣爱好吧，不是特别的明细。就是可能在学校这么多专业里面，没有一个特别特别喜欢的，但是有特别讨厌的。然后综合评估下来然后觉得当前这个专业可以开拓，有开拓这种状态，然后可以自己建立一个世界，就觉得还蛮有意思的，虽然学着很累，但就是还行。哦对，我在大学里面学习的是软件工程。']"
t_61,['好的，这是音频文件的转录：\n*   **Clip 1:** 一年以前把当时我的心情不太好，因为一些复杂的原因。\n*   **Clip 2:** 印象最深的经历是高考完之后，第一次离开家乡去读大学，然后去火车站一直坐火车到同济大。\n*   **Clip 3:** 上一个寒假的时候，因为我看完了一部自己最喜欢的动画。'],"['一年以前吧，当时我的心情不太好因为复杂的原因。', '上一个寒假的时候。因为我看完了一部自己最喜欢的动漫。', '印象中最深的经历就是高考完后第一次离开家乡去读大学，然后去火车站一直坐火车到同济大学。']"
t_62,['好的，這是音頻文件的轉錄：\n\n**音頻 1：**\n\n嗯，最後悔的事，我覺得我這個人是沒有最後悔的事，可能有一些小事會後悔，比如說，嗯，發生一些失誤啊什麼的。但是就是都是一些小事。\n嗯，我這個人就是不會對大事感到後悔，雖然可能證明我當時做錯了，或者是結果很失敗，但是我覺得那是我人生的一部分。是那一部分一部分的，嗯，一件一件的小事，一件一件的大事才構成了我的人生。所以我構成了現在的我，所以我不會感到非常後悔。\n\n**音頻 2：**\n\n一個人獨處的時候，喜歡在宿舍裡，嗯，就會幹很多事呀，比如說看小說，追劇，嗯，哎喲，還有，當然還有學習，我現在就是一個人在宿舍裡學英語。對，重要的是學習。\n\n**音頻 3：**\n\n其實最近沒有讓我感到特別開心的事，我覺得生活中的一些細瑣的小事也能讓人開心吧。比如說聽音樂隨機到了自己喜歡的歌曲，嗯，再比如說下班的路上路過中醫院聞到了我最喜歡的中藥的氣味。然後再比如說，嗯，其實都是很小的事情，但就很容易讓我開心，很容易滿足。'],"['最后悔的事，我觉得我这个人没有最后悔的事，可能就一些小事会后悔，比如说发生失误啊什么的。但是就是都是一些小事。我这个人就是不会对大事感到后悔。虽然可能证明我当时做错了或者是结果很失败，但是我觉得那是我人生的一部分。是那一部分一部分、一件一件的小事、一件一件的大事才构成了我的人生，构成了现在的我，所以我不会感到非常后悔。', '其实最近没有让我感觉特别开心的大事，我觉得生活中特别细小的小事也能让人开心吧。比如说，听音乐随机到了自己最喜欢的歌曲，比如说下班的路上路过中医院闻到了最喜欢的中药的气味，然后在比如说，嗯，就是都是一些很小的事情但就是很容易让我开心。', '一个人独处的时候，喜欢在宿舍里。就会干很多事啊，比如说看小说、追剧，还有，当然还有学习，我现在就是一个人在宿舍里学英语。对，重要的就是学习。']"
t_63,"['Okay, here are the transcriptions of the audio clips:\n\n*   **Clip 1:** 我不太记得清楚。 好像是上个礼拜什么时候。\n*   **Clip 2:** 景观园林设计。\n*   **Clip 3:** 与妈妈爸爸通视频的时候。']","['不太记得清楚，好像是上个礼拜什么时候。', '与妈妈爸爸通视频的时候。', '景观原理设计。']"
t_64,['好的，这是音频文件的转录：\n\n*   **Clip 1:**\n\n    有时候会失眠，然后失眠的时候就是那种头很，就是感觉很头疼。然后，就是想睡然后睡不着觉了，心情比较烦躁，然后头也比较晕，然后还会头疼。\n*   **Clip 2:**\n\n    未来就是从事跟，就是一些程序的工作，开发或者是运维都可以。 原因就是自己，自己学了这个专业，然后想从事这些，相关跟专业对口的一些工作。\n*   **Clip 3:**\n\n    比较激动的时候是晚上打游戏的时候，就因为在打CSGO，然后一个人把对面全灭了，然后就比较激动也很开心。'],"['有时候会失眠，然后就是失眠的时候就是会头感觉很头疼，然后就是想睡睡不着觉，心情比较烦躁，然后头也比较晕，然后还会头疼。', '上一次比较激动的时候是晚上打游戏的时候，就因为在打CS', '未来就是从事一些和程序员有关的工作，运维、开发都可以。原因就是自己学的专业，想从事和专业相关对口的工作。']"
t_66,"['好的，这是音频文件的转录：\n\n*   **Clip 1:** 漫无目的的等待。\n*   **Clip 2:** 这也是分情况的。 如果是太小的话, 就会很吵闹, 我就不喜欢太小的小孩子。 但如果像那种两三岁, 三四岁, 四五岁这种， 正可爱的, 这种就挺喜欢。 但是再长到上小学, 就又有点不喜欢了。\n*   **Clip 3:** 就出去大吃了一顿。']","['漫无目的的等待。', '就出去大吃了一顿。', '这也是分情况的。如果是太小的话就会很吵闹，我就不喜欢太小的小孩子。但如果说两三岁、三四岁、四五岁这种，正可爱的，这种就挺喜欢。但再长到上小学，就又有点不喜欢了。']"
t_67,"[""Okay, here's the transcription of each audio clip:\n\n**Clip 1:**\n\n呃,比较后悔的就是,呃, 大,大一下, 大二上,就是, 考得不是很好。其实没什么后悔的事情, 就是 其实,个人感觉没什么特别后悔。\n\n**Clip 2:**\n\n不喜欢,因为觉得太吵。\n\n**Clip 3:**\n\n最近的一次是上周,因为 买了 喜欢的。""]","['嗯比较后悔的就是，大一下大二上考的不是很好。其实没有什么后悔的事情，其实个人感觉没有什么特别后悔的事情。', '最近的一次是上周，因为买了喜欢的东西。', '不喜欢，因为觉得太吵了。']"
